date,Team_1,Team_2,Winner,Margin,Ground
3/23/2001,Sri Lanka,England,Sri Lanka,5 wickets,Dambulla
3/25/2001,Sri Lanka,England,Sri Lanka,66 runs,Colombo (RPS)
3/27/2001,Sri Lanka,England,Sri Lanka,10 wickets,Colombo (SSC)
6/7/2001,England,Pakistan,Pakistan,108 runs,Birmingham
6/10/2001,England,Australia,Australia,5 wickets,Bristol
6/12/2001,England,Pakistan,Pakistan,2 runs,Lord's
6/14/2001,England,Australia,Australia,125 runs,Manchester
6/17/2001,England,Pakistan,Pakistan,,Leeds
6/21/2001,England,Australia,Australia,8 wickets,The Oval
10/3/2001,Zimbabwe,England,England,5 wickets,Harare
10/6/2001,Zimbabwe,England,England,8 wickets,Harare
10/7/2001,Zimbabwe,England,England,4 wickets,Harare
10/10/2001,Zimbabwe,England,England,70 runs,Bulawayo
10/13/2001,Zimbabwe,England,England,7 wickets,Bulawayo
1/19/2002,India,England,India,22 runs,Kolkata
1/22/2002,India,England,England,16 runs,Cuttack
1/25/2002,India,England,India,4 wickets,Chennai
1/28/2002,India,England,India,8 wickets,Kanpur
1/31/2002,India,England,England,2 runs,Delhi
2/3/2002,India,England,England,5 runs,Mumbai
2/13/2002,New Zealand,England,New Zealand,4 wickets,Christchurch
2/16/2002,New Zealand,England,New Zealand,155 runs,Wellington
2/20/2002,New Zealand,England,England,43 runs,Napier
2/23/2002,New Zealand,England,England,33 runs,Auckland
2/26/2002,New Zealand,England,New Zealand,5 wickets,Dunedin
6/27/2002,England,Sri Lanka,England,44 runs,Nottingham
6/29/2002,England,India,India,6 wickets,Lord's
7/2/2002,England,Sri Lanka,England,3 wickets,Leeds
7/4/2002,England,India,India,-,Chester-le-Street
7/7/2002,England,Sri Lanka,Sri Lanka,23 runs,Manchester
7/9/2002,England,India,England,64 runs,The Oval
7/13/2002,England,India,India,2 wickets,Lord's
9/18/2002,England,Zimbabwe,England,108 runs,Colombo (RPS)
9/22/2002,England,India,India,8 wickets,Colombo (RPS)
12/13/2002,Australia,England,Australia,7 wickets,Sydney
12/15/2002,Australia,England,Australia,89 runs,Melbourne
12/17/2002,England,Sri Lanka,England,43 runs,Brisbane
12/20/2002,England,Sri Lanka,England,95 runs,Perth
1/11/2003,Australia,England,Australia,7 runs,Hobart
1/13/2003,England,Sri Lanka,Sri Lanka,31 runs,Sydney
1/17/2003,England,Sri Lanka,England,19 runs,Adelaide
1/19/2003,Australia,England,Australia,4 wickets,Adelaide
1/23/2003,Australia,England,Australia,10 wickets,Sydney
1/25/2003,Australia,England,Australia,5 runs,Melbourne
2/13/2003,Zimbabwe,England,Zimbabwe,,Harare
2/16/2003,England,Netherlands,England,6 wickets,East London
2/19/2003,England,Namibia,England,55 runs,Port Elizabeth
2/22/2003,England,Pakistan,England,112 runs,Cape Town
2/26/2003,England,India,India,82 runs,Durban
3/2/2003,Australia,England,Australia,2 wickets,Port Elizabeth
6/17/2003,England,Pakistan,Pakistan,2 wickets,Manchester
6/20/2003,England,Pakistan,England,7 wickets,The Oval
6/22/2003,England,Pakistan,England,4 wickets,Lord's
6/26/2003,England,Zimbabwe,Zimbabwe,4 wickets,Nottingham
6/28/2003,England,South Africa,England,6 wickets,The Oval
7/1/2003,England,Zimbabwe,Zimbabwe,-,Leeds
7/3/2003,England,South Africa,South Africa,7 wickets,Manchester
7/6/2003,England,Zimbabwe,England,6 wickets,Bristol
7/8/2003,England,South Africa,England,4 wickets,Birmingham
7/12/2003,England,South Africa,England,7 wickets,Lord's
11/7/2003,Bangladesh,England,England,7 wickets,Chattogram
11/10/2003,Bangladesh,England,England,7 wickets,Dhaka
11/12/2003,Bangladesh,England,England,7 wickets,Dhaka
11/18/2003,Sri Lanka,England,Sri Lanka,10 wickets,Dambulla
11/21/2003,Sri Lanka,England,Sri Lanka,-,Colombo (RPS)
11/23/2003,Sri Lanka,England,Sri Lanka,-,Colombo (RPS)
4/18/2004,West Indies,England,England,2 wickets,Georgetown
4/24/2004,West Indies,England,West Indies,-,Port of Spain
4/25/2004,West Indies,England,West Indies,-,Port of Spain
4/28/2004,West Indies,England,West Indies,-,St George's
5/1/2004,West Indies,England,West Indies,5 wickets,Gros Islet
5/2/2004,West Indies,England,West Indies,4 wickets,Gros Islet
5/5/2004,West Indies,England,England,5 wickets,Bridgetown
6/24/2004,England,New Zealand,New Zealand,-,Manchester
6/27/2004,England,West Indies,West Indies,7 wickets,Nottingham
6/29/2004,England,New Zealand,New Zealand,7 wickets,Chester-le-Street
7/1/2004,England,West Indies,England,7 wickets,Leeds
7/4/2004,England,New Zealand,New Zealand,6 wickets,Bristol
7/6/2004,England,West Indies,West Indies,7 wickets,Lord's
9/1/2004,England,India,England,7 wickets,Nottingham
9/3/2004,England,India,England,70 runs,The Oval
9/5/2004,England,India,India,23 runs,Lord's
9/10/2004,England,Zimbabwe,England,152 runs,Birmingham
9/17/2004,England,Sri Lanka,England,49 runs,Southampton
9/21/2004,England,Australia,England,6 wickets,Birmingham
9/25/2004,England,West Indies,West Indies,2 wickets,The Oval
11/28/2004,Zimbabwe,England,England,5 wickets,Harare
12/1/2004,Zimbabwe,England,England,161 runs,Harare
12/4/2004,Zimbabwe,England,England,8 wickets,Bulawayo
12/5/2004,Zimbabwe,England,England,74 runs,Bulawayo
1/30/2005,South Africa,England,England,26 runs,Johannesburg
2/2/2005,South Africa,England,South Africa,-,Bloemfontein
2/4/2005,South Africa,England,South Africa,3 wickets,Port Elizabeth
2/6/2005,South Africa,England,South Africa,108 runs,Cape Town
2/9/2005,South Africa,England,South Africa,7 runs,East London
2/11/2005,South Africa,England,South Africa,-,Durban
2/13/2005,South Africa,England,South Africa,3 wickets,Centurion
6/16/2005,England,Bangladesh,England,10 wickets,The Oval
6/19/2005,England,Australia,England,3 wickets,Bristol
6/21/2005,England,Bangladesh,England,168 runs,Nottingham
6/23/2005,England,Australia,Australia,57 runs,Chester-le-Street
6/26/2005,England,Bangladesh,England,5 wickets,Leeds
6/28/2005,England,Australia,Australia,-,Birmingham
7/2/2005,England,Australia,Australia,-,Lord's
7/7/2005,England,Australia,England,9 wickets,Leeds
7/10/2005,England,Australia,Australia,7 wickets,Lord's
7/12/2005,England,Australia,Australia,8 wickets,The Oval
12/10/2005,Pakistan,England,England,42 runs,Lahore
12/12/2005,Pakistan,England,Pakistan,7 wickets,Lahore
12/15/2005,Pakistan,England,Pakistan,165 runs,Karachi
12/19/2005,Pakistan,England,Pakistan,13 runs,Rawalpindi
12/21/2005,Pakistan,England,England,6 runs,Rawalpindi
3/28/2006,India,England,India,39 runs,Delhi
3/31/2006,India,England,India,4 wickets,Faridabad
4/3/2006,India,England,India,49 runs,Margao
4/6/2006,India,England,India,4 wickets,Kochi
4/9/2006,India,England,India,-,Guwahati
4/12/2006,India,England,England,5 wickets,Jamshedpur
4/15/2006,India,England,India,7 wickets,Indore
6/13/2006,Ireland,England,England,38 runs,Belfast
6/17/2006,England,Sri Lanka,Sri Lanka,20 runs,Lord's
6/20/2006,England,Sri Lanka,Sri Lanka,46 runs,The Oval
6/24/2006,England,Sri Lanka,Sri Lanka,8 wickets,Chester-le-Street
6/28/2006,England,Sri Lanka,Sri Lanka,33 runs,Manchester
7/1/2006,England,Sri Lanka,Sri Lanka,8 wickets,Leeds
8/30/2006,England,Pakistan,Pakistan,-,Cardiff
9/2/2006,England,Pakistan,Pakistan,7 wickets,Lord's
9/5/2006,England,Pakistan,Pakistan,2 wickets,Southampton
9/8/2006,England,Pakistan,England,8 wickets,Nottingham
9/10/2006,England,Pakistan,England,3 wickets,Birmingham
10/15/2006,India,England,India,4 wickets,Jaipur
10/21/2006,Australia,England,Australia,6 wickets,Jaipur
10/28/2006,England,West Indies,England,3 wickets,Ahmedabad
1/12/2007,Australia,England,Australia,8 wickets,Melbourne
1/16/2007,England,New Zealand,England,3 wickets,Hobart
1/19/2007,Australia,England,Australia,4 wickets,Brisbane
1/23/2007,England,New Zealand,New Zealand,90 runs,Adelaide
1/26/2007,Australia,England,Australia,9 wickets,Adelaide
1/30/2007,England,New Zealand,New Zealand,58 runs,Perth
2/2/2007,Australia,England,England,92 runs,Sydney
2/6/2007,England,New Zealand,England,14 runs,Brisbane
2/9/2007,Australia,England,England,4 wickets,Melbourne
2/11/2007,Australia,England,England,34 runs,Sydney
3/16/2007,England,New Zealand,New Zealand,6 wickets,Gros Islet
3/18/2007,Canada,England,England,51 runs,Gros Islet
3/24/2007,England,Kenya,England,7 wickets,Gros Islet
3/30/2007,England,Ireland,England,48 runs,Providence
4/4/2007,England,Sri Lanka,Sri Lanka,2 runs,North Sound
4/8/2007,Australia,England,Australia,7 wickets,North Sound
4/11/2007,Bangladesh,England,England,4 wickets,Bridgetown
4/17/2007,England,South Africa,South Africa,9 wickets,Bridgetown
4/21/2007,West Indies,England,England,1 wickets,Bridgetown
