,name,date,Versus,Ground,batting_runs,batting_aggregate,batting_average,bowling_wickets,bowling_aggregate,bowling_average,fielding_catches,fielding_aggregate,keeping_catches,keeping_stumps,keeping_aggregate,Age_Match,team1_name,team1_score,team2_name,team2_score,team1_total_wickets,team2_total_wickets
0,Ashton Agar,13/06/2018,England,Kennington Oval,40,54,18,0/28,4,52.5,,2,,,,24 years 242 days,Australia,214,England,218,7,10
1,Ashton Agar,16/06/2018,England,Sophia Gardens,46,100,25,0/52,4,65.5,1,3,,,,24 years 245 days,Australia,304,England,342,8,10
2,Ashton Agar,19/06/2018,England,Trent Bridge,25,125,25,Jan-70,5,66.4,1,4,,,,24 years 248 days,Australia,239,England,481,6,10
3,Ashton Agar,21/06/2018,England,Riverside Ground,19,144,24,Feb-48,7,54.29,,4,,,,24 years 250 days,Australia,310,England,314,4,8
4,Ashton Agar,24/06/2018,England,Old Trafford,0,144,20.57,Jan-34,8,51.75,,4,,,,24 years 253 days,Australia,205,England,208,9,10
5,Ashton Agar,14/01/2020,India,Wankhede Stadium,-,144,20.57,Jan-56,9,52.22,1,5,,,,26 years 91 days,Australia,258,India,255,10,0
6,Ashton Agar,17/01/2020,India,Saurashtra Cricket Association Stadium,25,169,21.13,0/63,9,59.22,1,6,,,,26 years 94 days,Australia,304,India,340,6,10
7,Ashton Agar,19/01/2020,India,M Chinnaswamy Stadium,11*,180,22.5,Jan-38,10,57.1,,6,,,,26 years 96 days,Australia,286,India,289,3,9
8,Ashton Agar,4/3/2020,South Africa,Mangaung Oval,9,189,21,0/48,10,61.9,,6,,,,26 years 141 days,Australia,271,South Africa,274,4,10
9,Ashton Agar,2/12/2020,India,Manuka Oval,28,217,21.7,Feb-44,12,55.25,1,7,,,,27 years 49 days,Australia,289,India,302,5,10
10,George Bailey,4/9/2016,Sri Lanka,Pallekele International Cricket Stadium,44,2890,42.5,,0,,,41,,,,33 years 362 days,Australia,199,Sri Lanka,195,10,5
11,George Bailey,27/09/2016,Ireland,Willowmoore Park,-,2890,42.5,,0,,2,43,,,,34 years 20 days,Australia,199,Ireland,198,10,1
12,George Bailey,30/09/2016,South Africa,SuperSport Park,74,2964,42.96,,0,,,43,,,,34 years 23 days,Australia,294,South Africa,295,4,9
13,George Bailey,2/10/2016,South Africa,Wanderers Stadium,9,2973,42.47,,0,,,43,,,,34 years 25 days,Australia,219,South Africa,361,6,10
14,George Bailey,5/10/2016,South Africa,Kingsmead,28,3001,42.27,,0,,,43,,,,34 years 28 days,Australia,371,South Africa,372,6,6
15,George Bailey,8/10/2016,South Africa,St George's Park,1,3002,41.69,,0,,,43,,,,34 years 31 days,Australia,167,South Africa,168,4,10
16,George Bailey,12/10/2016,South Africa,Newlands,2,3004,41.15,,0,,1,44,,,,34 years 35 days,Australia,296,South Africa,327,8,10
17,George Bailey,4/12/2016,New Zealand,Sydney Cricket Ground,17,3021,40.82,,0,,2,46,,,,34 years 88 days,Australia,324,New Zealand,256,10,8
18,George Bailey,6/12/2016,New Zealand,Manuka Oval,0*,3021,40.82,,0,,1,47,,,,34 years 90 days,Australia,378,New Zealand,262,10,5
19,George Bailey,9/12/2016,New Zealand,Melbourne Cricket Ground,23,3044,40.59,,0,,1,48,,,,34 years 93 days,Australia,264,New Zealand,147,10,8
20,Jason Behrendorff,15/01/2019,India,Adelaide Oval,1*,1,,Jan-52,3,30.33,,0,,,,28 years 270 days,Australia,298,India,299,4,9
21,Jason Behrendorff,2/3/2019,India,Rajiv Gandhi International Stadium,-,1,,0/46,3,45.67,,0,,,,28 years 316 days,Australia,236,India,240,4,7
22,Jason Behrendorff,10/3/2019,India,Punjab Cricket Association IS Bindra Stadium,-,1,,0/61,3,66,,0,,,,28 years 324 days,Australia,359,India,358,9,6
23,Jason Behrendorff,27/03/2019,Pakistan,Sheikh Zayed Stadium,-,1,,29-Jan,4,56.75,1,1,,,,28 years 341 days,Australia,266,Pakistan,186,10,6
24,Jason Behrendorff,31/03/2019,Pakistan,Dubai International Cricket Stadium,6*,7,,Mar-63,7,41.43,1,2,,,,28 years 345 days,Australia,327,Pakistan,307,7,7
25,Jason Behrendorff,15/06/2019,Sri Lanka,Kennington Oval,-,7,,Jan-59,8,43.63,,2,,,,29 years 55 days,Australia,334,Sri Lanka,247,10,7
26,Jason Behrendorff,25/06/2019,England,Lord's,-,7,,May-44,13,30.23,,2,,,,29 years 65 days,Australia,285,England,221,10,7
27,Jason Behrendorff,29/06/2019,New Zealand,Lord's,0,7,7,Feb-31,15,28.27,1,3,,,,29 years 69 days,Australia,243,New Zealand,157,10,9
28,Jason Behrendorff,6/7/2019,South Africa,Old Trafford,11*,18,18,Jan-55,16,29.94,,3,,,,29 years 76 days,Australia,315,South Africa,325,6,10
29,Jason Behrendorff,11/7/2019,England,Edgbaston,1,19,9.5,0/38,16,32.31,,3,,,,29 years 81 days,Australia,223,England,226,2,10
30,Scott Boland,6/2/2016,New Zealand,Westpac Stadium,-,0,,Feb-61,3,106.67,,2,,,,26 years 300 days,Australia,283,New Zealand,281,9,6
31,Scott Boland,8/2/2016,New Zealand,Seddon Park,2,2,2,Feb-59,5,75.8,1,3,,,,26 years 302 days,Australia,191,New Zealand,246,10,10
32,Scott Boland,19/06/2016,South Africa,Kensington Oval,-,2,2,,5,75.8,,3,,,,27 years 69 days,Australia,219,"
                    South Africa    
                  ",201,2,3
33,Scott Boland,21/06/2016,West Indies,Kensington Oval,-,2,2,Feb-69,7,64,,3,,,,27 years 71 days,Australia,283,West Indies,282,8,4
34,Scott Boland,31/08/2016,Sri Lanka,Rangiri Dambulla International Stadium,-,2,2,Jan-36,8,60.5,,3,,,,27 years 142 days,Australia,217,Sri Lanka,212,10,4
35,Scott Boland,4/9/2016,Sri Lanka,Pallekele International Cricket Stadium,-,2,2,28-Jan,9,56.89,,3,,,,27 years 146 days,Australia,199,Sri Lanka,195,10,5
36,Scott Boland,27/09/2016,Ireland,Willowmoore Park,-,2,2,Feb-42,11,50.36,,3,,,,27 years 169 days,Australia,199,Ireland,198,10,1
37,Scott Boland,30/09/2016,South Africa,SuperSport Park,3*,5,5,Mar-67,14,44.36,,3,,,,27 years 172 days,Australia,294,South Africa,295,4,9
38,Scott Boland,8/10/2016,South Africa,St George's Park,0,5,2.5,0/36,14,46.93,,3,,,,27 years 180 days,Australia,167,South Africa,168,4,10
39,Scott Boland,12/10/2016,South Africa,Newlands,4,9,3,Feb-68,16,45.31,,3,,,,27 years 184 days,Australia,296,South Africa,327,8,10
40,Joseph Burns,27/08/2015,Ireland,Civil Service Cricket Club,69,69,69,,0,,1,1,,,,25 years 354 days,Australia,222,Ireland,157,10,6
41,Joseph Burns,3/9/2015,England,The Rose Bowl,44,113,56.5,,0,,1,2,,,,25 years 361 days,Australia,305,England,246,10,6
42,Joseph Burns,5/9/2015,England,Lord's,22,135,45,,0,,,2,,,,25 years 363 days,Australia,309,England,245,10,7
43,Joseph Burns,8/9/2015,England,Old Trafford,9,144,36,,0,,,2,,,,26 years 1 days,Australia,207,England,300,8,10
44,Joseph Burns,11/9/2015,England,Headingley,2,146,29.2,,0,,,2,,,,26 years 4 days,Australia,299,England,304,7,7
45,Joseph Burns,12/9/2015,England,Old Trafford,0,146,24.33,,0,,,2,,,,26 years 5 days,Australia,140,England,138,10,2
46,Alex Carey,29/02/2020,South Africa,Boland Park,5,862,37.48,,0,,,0,2,,44,28 years 186 days,Australia,217,South Africa,291,7,10
47,Alex Carey,4/3/2020,South Africa,Mangaung Oval,21,883,36.79,,0,,,0,,,44,28 years 190 days,Australia,271,South Africa,274,4,10
48,Alex Carey,7/3/2020,South Africa,Senwes Park,0,883,35.32,,0,,,0,1,,45,28 years 193 days,Australia,254,South Africa,258,4,7
49,Alex Carey,13/03/2020,New Zealand,Sydney Cricket Ground,1,884,34,,0,,,0,2,,47,28 years 199 days,Australia,258,New Zealand,187,10,7
50,Alex Carey,11/9/2020,England,Old Trafford,10,894,33.11,,0,,,0,1,,48,29 years 15 days,Australia,294,England,275,9,9
51,Alex Carey,13/09/2020,England,Old Trafford,36,930,33.21,,0,,,0,3,,51,29 years 17 days,Australia,207,England,231,9,10
52,Alex Carey,16/09/2020,England,Old Trafford,106,1036,35.72,,0,,,0,,,51,29 years 20 days,Australia,305,England,302,7,7
53,Alex Carey,27/11/2020,India,Sydney Cricket Ground,17*,1053,36.31,,0,,,0,1,,52,29 years 92 days,Australia,374,India,308,8,6
54,Alex Carey,29/11/2020,India,Sydney Cricket Ground,-,1053,36.31,,0,,,0,1,,53,29 years 94 days,Australia,389,India,338,9,4
55,Alex Carey,2/12/2020,India,Manuka Oval,38,1091,36.37,,0,,,0,1,,54,29 years 97 days,Australia,289,India,302,5,10
56,Hilton Cartwright,17/09/2017,India,MA Chidambaram Stadium,1,1,1,,0,,1,1,,,,25 years 215 days,Australia,137,India,281,7,9
57,Hilton Cartwright,21/09/2017,India,Eden Gardens,1,2,1,,0,,,1,,,,25 years 219 days,Australia,202,India,252,10,10
58,Daniel Christian,6/3/2012,Sri Lanka,Adelaide Oval,4*,172,24.57,0/29,13,25.08,,4,,,,28 years 307 days,Australia,271,Sri Lanka,274,2,6
59,Daniel Christian,8/3/2012,Sri Lanka,Adelaide Oval,19,191,23.88,0/21,13,26.69,,4,,,,28 years 309 days,Australia,231,Sri Lanka,215,10,10
60,Daniel Christian,16/03/2012,West Indies,Arnos Vale Ground,18*,209,26.13,12-Feb,15,23.93,1,5,,,,28 years 317 days,Australia,204,West Indies,140,10,8
61,Daniel Christian,18/03/2012,West Indies,Arnos Vale Ground,6,215,23.89,0/26,15,25.67,,5,,,,28 years 319 days,Australia,154,West Indies,163,5,9
62,Daniel Christian,20/03/2012,West Indies,Arnos Vale Ground,12,227,22.7,0/11,15,26.4,2,7,,,,28 years 321 days,Australia,220,West Indies,220,10,10
63,Daniel Christian,28/08/2012,Pakistan,Sharjah Cricket Stadium,3*,230,23,Jan-37,16,27.06,,7,,,,29 years 116 days,Australia,199,Pakistan,198,10,6
64,Daniel Christian,31/08/2012,Pakistan,Sheikh Zayed Stadium,18,248,22.55,Jan-40,17,27.82,,7,,,,29 years 119 days,Australia,248,Pakistan,249,3,9
65,Daniel Christian,3/9/2012,Pakistan,Sharjah Cricket Stadium,2,250,20.83,0/55,17,31.06,,7,,,,29 years 122 days,Australia,250,Pakistan,244,7,7
66,Daniel Christian,19/01/2014,England,Sydney Cricket Ground,-,250,20.83,Feb-52,19,30.53,2,9,,,,30 years 260 days,Australia,244,England,243,9,3
67,Daniel Christian,24/01/2014,England,WACA Ground,23,273,21,15-Jan,20,29.75,1,10,,,,30 years 265 days,Australia,259,England,316,8,10
68,Nathan Coulter-Nile,2/3/2019,India,Rajiv Gandhi International Stadium,28,148,13.45,Feb-46,40,26.43,,7,,,,31 years 142 days,Australia,236,India,240,4,7
69,Nathan Coulter-Nile,5/3/2019,India,Vidarbha Cricket Association Stadium,4,152,12.67,Jan-52,41,27.05,,7,,,,31 years 145 days,Australia,242,India,250,10,10
70,Nathan Coulter-Nile,22/03/2019,Pakistan,Sharjah Cricket Stadium,-,152,12.67,Feb-61,43,27.21,,7,,,,31 years 162 days,Australia,281,Pakistan,280,5,2
71,Nathan Coulter-Nile,23/03/2019,Pakistan,Sharjah Cricket Stadium,-,152,12.67,Feb-52,45,27.16,,7,,,,31 years 163 days,Australia,285,Pakistan,284,7,2
72,Nathan Coulter-Nile,29/03/2019,Pakistan,Dubai International Cricket Stadium,2*,154,12.83,Mar-53,48,26.56,,7,,,,31 years 169 days,Australia,277,Pakistan,271,8,7
73,Nathan Coulter-Nile,1/6/2019,Afghanistan,Sophia Gardens,-,154,12.83,0/36,48,27.31,,7,,,,31 years 233 days,Australia,209,Afghanistan,207,10,3
74,Nathan Coulter-Nile,6/6/2019,West Indies,Trent Bridge,92,246,18.92,0/70,48,28.77,,7,,,,31 years 238 days,Australia,288,West Indies,273,9,10
75,Nathan Coulter-Nile,9/6/2019,India,Kennington Oval,4,250,17.86,Jan-63,49,29.47,,7,,,,31 years 241 days,Australia,316,India,352,5,10
76,Nathan Coulter-Nile,12/6/2019,Pakistan,The Cooper Associates County Ground,2,252,16.8,Jan-53,50,29.94,,7,,,,31 years 244 days,Australia,307,Pakistan,266,10,10
77,Nathan Coulter-Nile,20/06/2019,Bangladesh,Trent Bridge,-,252,16.8,Feb-58,52,29.9,,7,,,,31 years 252 days,Australia,381,Bangladesh,333,8,5
78,Patrick Cummins,17/01/2020,India,Saurashtra Cricket Association Stadium,0,234,9.75,0/53,98,27.55,,13,,,,26 years 253 days,Australia,304,India,340,6,10
79,Patrick Cummins,19/01/2020,India,M Chinnaswamy Stadium,0,234,9.36,0/64,98,28.2,,13,,,,26 years 255 days,Australia,286,India,289,3,9
80,Patrick Cummins,29/02/2020,South Africa,Boland Park,6,240,9.23,Mar-45,101,27.81,,13,,,,26 years 296 days,Australia,217,South Africa,291,7,10
81,Patrick Cummins,4/3/2020,South Africa,Mangaung Oval,6,246,9.11,Jan-59,102,28.12,1,14,,,,26 years 300 days,Australia,271,South Africa,274,4,10
82,Patrick Cummins,13/03/2020,New Zealand,Sydney Cricket Ground,14*,260,9.63,25-Mar,105,27.55,2,16,,,,26 years 309 days,Australia,258,New Zealand,187,10,7
83,Patrick Cummins,11/9/2020,England,Old Trafford,9,269,9.61,Jan-74,106,27.99,,16,,,,27 years 126 days,Australia,294,England,275,9,9
84,Patrick Cummins,13/09/2020,England,Old Trafford,11,280,9.66,Jan-56,107,28.25,,16,,,,27 years 128 days,Australia,207,England,231,9,10
85,Patrick Cummins,16/09/2020,England,Old Trafford,4*,284,9.79,Jan-53,108,28.48,,16,,,,27 years 131 days,Australia,305,England,302,7,7
86,Patrick Cummins,27/11/2020,India,Sydney Cricket Ground,1*,285,9.83,0/52,108,28.96,,16,,,,27 years 203 days,Australia,374,India,308,8,6
87,Patrick Cummins,29/11/2020,India,Sydney Cricket Ground,-,285,9.83,Mar-67,111,28.78,,16,,,,27 years 205 days,Australia,389,India,338,9,4
88,Ben Cutting,13/01/2013,Sri Lanka,Adelaide Oval,27,27,27,Jan-42,1,42,,0,,,,25 years 348 days,Australia,170,Sri Lanka,172,2,10
89,Ben Cutting,8/2/2013,West Indies,Sydney Cricket Ground,-,27,27,Mar-45,4,21.75,,0,,,,26 years 9 days,Australia,221,West Indies,220,10,5
90,Ben Cutting,10/2/2013,West Indies,Melbourne Cricket Ground,-,27,27,Jan-53,5,28,1,1,,,,26 years 11 days,Australia,274,West Indies,257,10,5
91,Ben Cutting,31/08/2014,Zimbabwe,Harare Sports Club,26,53,26.5,0/18,5,31.6,,1,,,,27 years 213 days,Australia,209,Zimbabwe,211,7,9
92,James Faulkner,6/12/2016,New Zealand,Manuka Oval,-,908,37.83,Feb-69,82,31.16,1,18,,,,26 years 221 days,Australia,378,New Zealand,262,10,5
93,James Faulkner,9/12/2016,New Zealand,Melbourne Cricket Ground,13,921,36.84,26-Feb,84,30.73,1,19,,,,26 years 224 days,Australia,264,New Zealand,147,10,8
94,James Faulkner,13/01/2017,Pakistan,Brisbane Cricket Ground,5,926,35.62,Apr-32,88,29.69,,19,,,,26 years 259 days,Australia,268,Pakistan,176,10,9
95,James Faulkner,15/01/2017,Pakistan,Melbourne Cricket Ground,19,945,35,Feb-35,90,29.42,,19,,,,26 years 261 days,Australia,220,Pakistan,221,4,10
96,James Faulkner,19/01/2017,Pakistan,WACA Ground,-,945,35,0/62,90,30.11,,19,,,,26 years 265 days,Australia,265,Pakistan,263,7,3
97,James Faulkner,26/01/2017,Pakistan,Adelaide Oval,18*,963,35.67,Jan-60,91,30.44,,19,,,,26 years 272 days,Australia,369,Pakistan,312,10,7
98,James Faulkner,30/01/2017,New Zealand,Eden Park,25,988,35.29,29-Jan,92,30.42,1,20,,,,26 years 276 days,Australia,280,New Zealand,286,9,10
99,James Faulkner,5/2/2017,New Zealand,Seddon Park,0,988,34.07,Mar-59,95,30.08,,20,,,,26 years 282 days,Australia,257,New Zealand,281,9,10
100,James Faulkner,17/09/2017,India,MA Chidambaram Stadium,32*,1020,35.17,Jan-67,96,30.47,1,21,,,,27 years 141 days,Australia,137,India,281,7,9
101,James Faulkner,1/10/2017,India,Vidarbha Cricket Association Stadium,12,1032,34.4,0/37,96,30.85,,21,,,,27 years 155 days,Australia,242,India,243,3,9
102,Callum Ferguson,26/09/2009,West Indies,Wanderers Stadium,20,590,49.17,,0,,,6,,,,24 years 309 days,Australia,275,West Indies,225,10,8
103,Callum Ferguson,28/09/2009,India,SuperSport Park,2*,592,49.33,,0,,,6,,,,24 years 311 days,Australia,219,"
                    India    
                  ",202,4,0
104,Callum Ferguson,30/09/2009,Pakistan,SuperSport Park,7,599,46.08,,0,,,6,,,,24 years 313 days,Australia,206,Pakistan,205,6,8
105,Callum Ferguson,2/10/2009,England,SuperSport Park,-,599,46.08,,0,,,6,,,,24 years 315 days,Australia,258,England,257,10,1
106,Callum Ferguson,5/10/2009,New Zealand,SuperSport Park,-,599,46.08,,0,,,6,,,,24 years 318 days,Australia,206,New Zealand,200,9,4
107,Callum Ferguson,7/11/2010,Sri Lanka,Brisbane Cricket Ground,-,599,46.08,,0,,1,7,,,,25 years 350 days,Australia,119,Sri Lanka,115,10,2
